line	text	TextType	WordCountinSent	SentCount
1	Kerem şiir yarışmasında kazandığı ödülü gururla eve götürürken yolun kendisine daha önce hiç bu kadar uzun gelmediğini düşündü.	nar_T1	18	26
2	Annesinin vereceği tepkiyi, mutluluk çığlığını ve ona sımsıkı sarılışını hayal etmeye çalıştı.	nar_T1	12	26
3	Daha da heyecanlanarak adımlarını hızlandırdı.	nar_T1	5	26
4	Evleri ile okulları aynı mahallede olduğu için çoğu arkadaşı gibi eve yürüyerek gidiyordu.	nar_T1	13	26
5	Bugün yol arkadaşının hazırlanmasını bekleyememiş, sabırsızlıkla yola koyulmuştu.	nar_T1	8	26
6	Eve geldiğinde ev her zamankinden farklı olarak çok sessizdi.	nar_T1	9	26
7	Evde kimse yoktu.	nar_T1	3	26
8	Kardeşini kontrol etti.	nar_T1	3	26
9	Beşik boştu.	nar_T1	2	26
10	Annesinin kendisini okuldan almadan bir yere gitmeyeceğini biliyordu.	nar_T1	8	26
11	Çok meraklandı.	nar_T1	2	26
12	Buzdolabının üzerinde not olabileceğini akıl etti, belki de kısa süreliğine bir komşularına gitmişlerdi.	nar_T1	13	26
13	Umutla buzdolabına koştu ama herhangi bir not bulamadı.	nar_T1	8	26
14	Komşuların kapısında annesinin terliklerini görmemişti ama yine de kapıyı çalarak sordu.	nar_T1	11	26
15	Annesi onlara da haber vermemişti.	nar_T1	5	26
16	Acaba kardeşi hastalanmış olabilir miydi?	nar_T1	5	26
17	Gözleri doldu.	nar_T1	2	26
18	Kardeşini çok seviyordu.	nar_T1	3	26
19	Gözüne kardeşinin daha önce ateşliyken havale geçirdiği sahne geldi.	nar_T1	9	26
20	Evde tedirgin bir şekilde beklemekten başka çaresi kalmamıştı.	nar_T1	8	26
21	Ah, biraz önce heyecandan vakit geçmek bilmiyorken şimdi kaygısından dolayı zaman yavaşlamıştı sanki.	nar_T1	13	26
22	Bunun üzerinde zaman algısıyla ilgili çeşitli düşünceler üretmeye başladı.	nar_T1	9	26
23	Hatta bunu bir oyun haline getirmişti ki, kapı aniden açıldı.	nar_T1	10	26
24	Karşısında aylardır görmediği babaannesini, arkasında annesi ve kardeşinin gülümseyen yüzlerini gördü.	nar_T1	11	26
25	Şimdi şaşkınlık ve mutluluktan hızla çarpıyordu kalbi.	nar_T1	7	26
26	Ona sürpriz yapmışlardı.	nar_T1	3	26
1	Bir cuma günü okul çıkışı, Kerem şiir yarışmasında kazandığı ödülü evine götürüyordu.	nar_T2	12	18
2	Annesi ve kardeşine sürpriz yapacaktı.	nar_T2	5	18
3	Onların vereceği tepkiyi ve mutluluklarını hayal etti.	nar_T2	7	18
4	Heyecanlanıp adımlarını daha da hızlandırdı.	nar_T2	5	18
5	Evleri ve okulları aynı semtte olduğundan çoğu arkadaşı gibi Kerem de eve yürüyerek gidiyordu.	nar_T2	14	18
6	Bugün arkadaşının hazırlanmasını bekleyememiş, sabırsızlıkla yola koyulmuştu.	nar_T2	7	18
7	Eve geldiğinde ev her zamankinden daha sessizdi.	nar_T2	7	18
8	Evde kimseyi göremeyince merakı gitgide arttı.	nar_T2	6	18
9	Belki de annesi ve kardeşi komşularındaydı.	nar_T2	6	18
10	Kapılarını çalarak annesini sordu ama onların da haberi yoktu.	nar_T2	9	18
11	Evde merakla beklemekten başka çaresi yoktu.	nar_T2	6	18
12	Ah, evin yolunda heyecandan vakit akıp geçiyordu fakat şimdi zaman çok yavaştı.	nar_T2	12	18
13	Annesi ve kardeşine ödülünü göstermek için sabırsızlanıyordu ki birden kapı açılıverdi.	nar_T2	11	18
14	Annesi, kardeşi ve aylardır görmediği babaannesi gülümseyerek kapıdan içeri girdi.	nar_T2	10	18
15	Şaşkınlık ve mutluluktan kalbi hızlı hızlı çarpıyordu.	nar_T2	7	18
16	Babaannesi ve annesi Kerem’e harika bir sürpriz yapmışlardı.	nar_T2	8	18
17	Kerem de ödülünü onlara gururla gösterince onlar da Kerem’i büyük bir sevinçle tebrik edip alkışladılar.	nar_T2	15	18
18	Birbirlerine mutlulukla sarıldılar.	nar_T2	3	18
1	Kerem şiir yarışmasında kazandığı ödülü gururla evine götürüyordu.	nar_T3	8	30
2	Evlerinin yolunun kendisine daha önce hiç bu kadar uzun gelmediğini düşündü.	nar_T3	11	30
3	Annesinin vereceği tepkiyi, mutluluk çığlığını ve ona sımsıkı sarılışını hayal etti.	nar_T3	11	30
4	Heyecanlanarak adımlarını hızlandırdı.	nar_T3	3	30
5	Evleri ve okulları aynı semtte olduğundan çoğu arkadaşı gibi eve yürüyerek gidiyordu.	nar_T3	12	30
6	Bugün yol arkadaşının hazırlanmasını bekleyememişti.	nar_T3	5	30
7	Yola sabırsızlıkla koyulmuştu.	nar_T3	3	30
8	Eve geldiğinde ev her zamankinden farklı ve çok sessizdi.	nar_T3	9	30
9	Evde kimsecikler yoktu.	nar_T3	3	30
10	Kardeşinin odasına baktı.	nar_T3	3	30
11	Beşiği boştu.	nar_T3	2	30
12	Annesi onu okuldan almadan hiçbir yere gitmezdi.	nar_T3	7	30
13	Giderek meraklandı.	nar_T3	2	30
14	Buzdolabının üzerinde not olabileceğini akıl etti.	nar_T3	6	30
15	Belki de annesi kısa süreliğine komşularına gitmişti.	nar_T3	7	30
16	Umutla buzdolabına koştu.	nar_T3	3	30
17	Herhangi bir not bulamadı.	nar_T3	4	30
18	Komşuların kapısında annesinin terliklerini görmemişti.	nar_T3	5	30
19	Yine de komşularının kapısını çalarak annesini sordu.	nar_T3	7	30
20	Annesi onlara da haber vermemişti.	nar_T3	5	30
21	Acaba kardeşi hastalanmış olabilir miydi?	nar_T3	5	30
22	Gözleri dolmaya başladı.	nar_T3	3	30
23	Çok seviyordu kardeşini.	nar_T3	3	30
24	Evde kaygıyla beklemekten başka çaresi kalmamıştı.	nar_T3	6	30
25	Ah, evin yolunda heyecandan vakit geçmek bilmezken şimdi ise zaman yavaşlamıştı sanki.	nar_T3	12	30
26	Bunun üzerinde zaman ile ilgili çeşitli düşünceler üretmeye başladı.	nar_T3	9	30
27	Hatta bunu bir oyun haline getirmişti ki, birden kapı açıldı.	nar_T3	10	30
28	Aylardır görmediği babaannesi ile annesinin ve kardeşinin gülümseyen yüzlerini gördü.	nar_T3	10	30
29	Şaşkınlık ve mutluluktan kalbi hızla çarpıyordu.	nar_T3	6	30
30	Kerem’e sürpriz yapmışlardı.	nar_T3	3	30
